place_id,place_name,city,state,match_score,reason
"place-brittos-goa","Brittos","Goa","Goa",35,"Low confidence score"
"place-bungee-jumping-in-goa-goa","Bungee Jumping in Goa","Goa","Goa",-100,"Low confidence score"
"place-butterfly-beach-goa","Butterfly Beach","Goa","Goa",-100,"Low confidence score"
"place-butterfly-conservatory-of-goa-goa","Butterfly Conservatory Of Goa","Goa","Goa",-100,"Low confidence score"
"place-cabo-de-rama-beach-goa","Cabo de Rama Beach","Goa","Goa",-100,"Low confidence score"
"place-calangute-beach-goa","Calangute Beach","Goa","Goa",-100,"Low confidence score"
"place-carnival-in-goa-goa","Carnival in Goa","Goa","Goa",-100,"Low confidence score"
"place-casino-goa","Casino","Goa","Goa",-100,"Low confidence score"
"place-chapora-fort-goa","Chapora Fort","Goa","Goa",-100,"Low confidence score"
"place-church-of-our-lady-of-the-immaculate-conception-goa","Church of Our Lady of the Immaculate Conception","Goa","Goa",-100,"Low confidence score"
"place-church-of-st-francis-of-assisi-goa","Church of St Francis of Assisi","Goa","Goa",-100,"Low confidence score"
"place-church-of-st-cajetan-goa","Church of St. Cajetan","Goa","Goa",-100,"Low confidence score"
"place-club-lpk-love-passion-karma-goa","Club LPK - Love Passion Karma","Goa","Goa",-100,"Low confidence score"
"place-dine-on-a-cruise-goa","Dine on a Cruise","Goa","Goa",-100,"Low confidence score"
"place-divar-island-goa","Divar Island","Goa","Goa",-100,"Low confidence score"
"place-explore-dona-paula-goa","Explore Dona Paula","Goa","Goa",-100,"Low confidence score"
"place-fontainhas-and-sao-tome-goa","Fontainhas and Sao Tome","Goa","Goa",-100,"Low confidence score"
"place-fort-aguada-goa","Fort Aguada","Goa","Goa",-100,"Low confidence score"
"place-fort-tiracol-goa","Fort Tiracol","Goa","Goa",-100,"Low confidence score"
"place-fun-time-in-calangute-beach-goa","Fun time in Calangute Beach","Goa","Goa",-100,"Low confidence score"
"place-go-shopping-in-goa-goa","Go Shopping in Goa","Goa","Goa",-100,"Low confidence score"
"place-grande-island-goa","Grande Island","Goa","Goa",-100,"Low confidence score"
"place-mambos-goa","Mambos","Goa","Goa",-100,"Low confidence score"
"place-mollem-national-park-goa","Mollem National Park","Goa","Goa",-100,"Low confidence score"
"place-monastery-of-st-augustine-goa","Monastery Of St Augustine","Goa","Goa",-100,"Low confidence score"
"place-party-at-the-tito-s-goa","Party at the Tito's","Goa","Goa",35,"Low confidence score"
"place-rejuvenate-by-spas-and-massages-goa","Rejuvenate by Spas and Massages","Goa","Goa",-100,"Low confidence score"
"place-relax-at-the-palolem-beach-goa","Relax at the Palolem beach","Goa","Goa",-100,"Low confidence score"
"place-savoi-plantation-goa","Savoi Plantation","Goa","Goa",-100,"Low confidence score"
"place-scuba-diving-in-goa-goa","Scuba Diving in Goa","Goa","Goa",-100,"Low confidence score"
"place-se-cathedral-goa","Se Cathedral","Goa","Goa",-100,"Low confidence score"
"place-sri-mahadeva-temple-goa","Sri Mahadeva Temple","Goa","Goa",-100,"Low confidence score"
"place-sunburn-festival-goa","Sunburn Festival","Goa","Goa",-100,"Low confidence score"
"place-thalassa-goa","Thalassa","Goa","Goa",-100,"Low confidence score"
"place-water-sports-in-goa-goa","Water Sports in Goa","Goa","Goa",-100,"Low confidence score"
"place-basilica-of-bom-jesus-panaji-222","Basilica of Bom Jesus","Panaji","Goa",-100,"Low confidence score"
"place-dona-paula-panaji","Dona Paula","Panaji","Goa",-100,"Low confidence score"
"place-fort-aguada-panaji-224","Fort Aguada","Panaji","Goa",-100,"Low confidence score"
"place-auda-garden-ahmedabad","AUDA Garden","Ahmedabad","Gujarat",-100,"Low confidence score"
"place-adalaj-step-well-ahmedabad","Adalaj Step Well","Ahmedabad","Gujarat",-100,"Low confidence score"
"place-ahmedabad-one-ahmedabad","Ahmedabad One","Ahmedabad","Gujarat",-100,"Low confidence score"
"place-alpha-one-mall-ahmedabad","Alpha One Mall","Ahmedabad","Gujarat",-100,"Low confidence score"
"place-banascraft-ahmedabad","Banascraft","Ahmedabad","Gujarat",-100,"Low confidence score"
"place-bhadra-fort-teen-darwaza-ahmedabad","Bhadra Fort & Teen Darwaza","Ahmedabad","Gujarat",-100,"Low confidence score"
"place-calico-textile-museum-ahmedabad","Calico Textile Museum","Ahmedabad","Gujarat",-100,"Low confidence score"
"place-city-shopping-ahmedabad","City Shopping","Ahmedabad","Gujarat",-100,"Low confidence score"
"place-dada-bhagwan-temple-ahmedabad","Dada Bhagwan temple","Ahmedabad","Gujarat",-100,"Low confidence score"
"place-dada-hari-wav-ahmedabad","Dada Hari Wav","Ahmedabad","Gujarat",-100,"Low confidence score"
"place-dhanvantari-garden-ahmedabad","Dhanvantari Garden","Ahmedabad","Gujarat",-100,"Low confidence score"
"place-gotila-garden-talav-ahmedabad","Gotila Garden-Talav","Ahmedabad","Gujarat",-100,"Low confidence score"
"place-hathisingh-jain-temple-ahmedabad","Hathisingh Jain Temple","Ahmedabad","Gujarat",-100,"Low confidence score"
"place-iskcon-temple-ahmedabad","ISKCON Temple","Ahmedabad","Gujarat",-100,"Low confidence score"
"place-jhulta-minar-ahmedabad","Jhulta Minar","Ahmedabad","Gujarat",-100,"Low confidence score"
"place-kamala-nehru-zoo-ahmedabad","Kamala Nehru Zoo","Ahmedabad","Gujarat",-100,"Low confidence score"
"place-kankaria-lake-ahmedabad","Kankaria Lake","Ahmedabad","Gujarat",-100,"Low confidence score"
"place-kapasi-handicraft-emporium-ahmedabad","Kapasi Handicraft Emporium","Ahmedabad","Gujarat",-100,"Low confidence score"
"place-kite-museum-ahmedabad","Kite Museum","Ahmedabad","Gujarat",-100,"Low confidence score"
"place-lal-darwaza-ahmedabad","Lal Darwaza","Ahmedabad","Gujarat",-100,"Low confidence score"
"place-lalbhai-dalpatbhai-museum-ahmedabad","Lalbhai Dalpatbhai Museum","Ahmedabad","Gujarat",-100,"Low confidence score"
"place-law-garden-night-market-ahmedabad","Law Garden Night Market","Ahmedabad","Gujarat",-100,"Low confidence score"
"place-lothal-ahmedabad","Lothal","Ahmedabad","Gujarat",-100,"Low confidence score"
"place-manek-chowk-ahmedabad","Manek Chowk","Ahmedabad","Gujarat",-100,"Low confidence score"
"place-modhera-sun-temple-ahmedabad","Modhera Sun Temple","Ahmedabad","Gujarat",-100,"Low confidence score"
"place-nehru-bridge-ahmedabad","Nehru Bridge","Ahmedabad","Gujarat",-100,"Low confidence score"
"place-one-tree-hill-garden-ahmedabad","One Tree Hill Garden","Ahmedabad","Gujarat",-100,"Low confidence score"
"place-r3-the-mall-ahmedabad","R3 The Mall","Ahmedabad","Gujarat",-100,"Low confidence score"
"place-radhe-shopping-mall-ahmedabad","Radhe Shopping Mall","Ahmedabad","Gujarat",-100,"Low confidence score"
