place_id,place_name,city,state,source_name,flag_activity_phrase,reason
PL-00900,"Lakshmi Devi Temple, Doddagaddavalli",,Karnataka,Kerala_Karnataka_Districts,False,Missing state or city
PL-00901,"Lakshmi Narasimha Temple, Nuggehalli",,Karnataka,Kerala_Karnataka_Districts,False,Missing state or city
PL-00902,Lal Bagh Botanical Garden,,Karnataka,Kerala_Karnataka_Districts,False,Missing state or city
PL-00903,Lalitha Mahal Palace,,Karnataka,Kerala_Karnataka_Districts,False,Missing state or city
PL-00904,Lockhart Gap,,Karnataka,Kerala_Karnataka_Districts,False,Missing state or city
PL-00905,Lotus Mahal,,Karnataka,Kerala_Karnataka_Districts,False,Missing state or city
PL-00906,Maddur Vada Hub,,Karnataka,Kerala_Karnataka_Districts,False,Missing state or city
PL-00907,Magod Falls,,Karnataka,Kerala_Karnataka_Districts,False,Missing state or city
PL-00908,Maharaja Park,,Karnataka,Kerala_Karnataka_Districts,False,Missing state or city
PL-00909,Majali Beach,,Karnataka,Kerala_Karnataka_Districts,False,Missing state or city
PL-00910,Malkhed Fort,,Karnataka,Kerala_Karnataka_Districts,False,Missing state or city
PL-00911,Mallalli Falls,,Karnataka,Kerala_Karnataka_Districts,False,Missing state or city
PL-00912,Malpe Beach (Udupi),,Karnataka,Kerala_Karnataka_Districts,False,Missing state or city
PL-00913,Mandala Viewpoint,,Karnataka,Kerala_Karnataka_Districts,False,Missing state or city
PL-00914,Mandikal Hills,,Karnataka,Kerala_Karnataka_Districts,False,Missing state or city
PL-00915,Mangaladevi Temple,,Karnataka,Kerala_Karnataka_Districts,False,Missing state or city
PL-00916,Manjarabad Fort,,Karnataka,Kerala_Karnataka_Districts,False,Missing state or city
PL-00917,Marayoor Sandalwood Forest,,Karnataka,Kerala_Karnataka_Districts,False,Missing state or city
PL-00918,Matanga Hill,,Karnataka,Kerala_Karnataka_Districts,False,Missing state or city
PL-00919,Mattupetty Dam,,Karnataka,Kerala_Karnataka_Districts,False,Missing state or city
PL-00920,Melukote,,Karnataka,Kerala_Karnataka_Districts,False,Missing state or city
PL-00921,Melukote Cheluvanarayana Swamy Temple,,Karnataka,Kerala_Karnataka_Districts,False,Missing state or city
PL-00922,Mezapulimala,,Karnataka,Kerala_Karnataka_Districts,False,Missing state or city
PL-00923,Milagres Church,,Karnataka,Kerala_Karnataka_Districts,False,Missing state or city
PL-00924,Minakanagurki,,Karnataka,Kerala_Karnataka_Districts,False,Missing state or city
PL-00925,Mirjan Fort,,Karnataka,Kerala_Karnataka_Districts,False,Missing state or city
PL-00926,Monolithic Nandi,,Karnataka,Kerala_Karnataka_Districts,False,Missing state or city
PL-00927,Moodabidri (Jain Kashi),,Karnataka,Kerala_Karnataka_Districts,False,Missing state or city
PL-00928,Muddenahalli,,Karnataka,Kerala_Karnataka_Districts,False,Missing state or city
PL-00929,Murudeshwar Beach,,Karnataka,Kerala_Karnataka_Districts,False,Missing state or city
PL-00930,Murudeshwar Temple,,Karnataka,Kerala_Karnataka_Districts,False,Missing state or city
PL-00931,Mysore Palace,,Karnataka,Kerala_Karnataka_Districts,False,Missing state or city
PL-00932,Mysore Zoo (Sri Chamarajendra Zoological Gardens),,Karnataka,Kerala_Karnataka_Districts,False,Missing state or city
PL-00933,Nagavi Ghat,,Karnataka,Kerala_Karnataka_Districts,False,Missing state or city
PL-00934,Namdroling Monastery (Golden Temple),,Karnataka,Kerala_Karnataka_Districts,False,Missing state or city
PL-00935,Nandi Hills,,Karnataka,Kerala_Karnataka_Districts,False,Missing state or city
PL-00936,National Gallery of Modern Art,,Karnataka,Kerala_Karnataka_Districts,False,Missing state or city
PL-00937,Nedumbassery (Cochin Airport Area),,Karnataka,Kerala_Karnataka_Districts,False,Missing state or city
PL-00938,Netrani Island,,Karnataka,Kerala_Karnataka_Districts,False,Missing state or city
PL-00939,Netravathi River Bridge,,Karnataka,Kerala_Karnataka_Districts,False,Missing state or city
PL-00940,New Mangalore Port,,Karnataka,Kerala_Karnataka_Districts,False,Missing state or city
PL-00941,Nisargadhama,,Karnataka,Kerala_Karnataka_Districts,False,Missing state or city
